"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.483219885E2,6.043454382E1,2.222916359E1,-9.141620785E0,1.700000048E0,2.373999939E2,9.935046196E0,2.500000000E0
1.493220031E2,6.043453547E1,2.222913794E1,-9.292698877E0,1.590000033E0,2.361000061E2,9.935046196E0,2.500000000E0
1.503220076E2,6.043452324E1,2.222911782E1,-8.681692228E0,1.669999957E0,2.248999939E2,9.935046196E0,2.500000000E0
1.513224947E2,6.043451297E1,2.222909333E1,-8.912634305E0,1.690000057E0,2.336000061E2,9.935046196E0,2.500000000E0
1.523226867E2,6.043450512E1,2.222906337E1,-8.376729739E0,1.659999967E0,2.381000061E2,9.935046196E0,2.500000000E0
1.533224478E2,6.043449754E1,2.222903582E1,-7.998846287E0,1.700000048E0,2.415000000E2,9.935046196E0,2.500000000E0
1.543218788E2,6.043449118E1,2.222900208E1,-7.483937073E0,1.779999971E0,2.406999969E2,9.935046196E0,2.500000000E0
1.553225678E2,6.043448480E1,2.222897214E1,-7.302830627E0,1.669999957E0,2.451000061E2,9.935046196E0,2.500000000E0
1.563228110E2,6.043447854E1,2.222894379E1,-7.380330830E0,1.690000057E0,2.486999969E2,9.935046196E0,2.500000000E0
1.573224092E2,6.043447093E1,2.222891557E1,-7.261663405E0,1.649999976E0,2.451999969E2,9.935046196E0,2.500000000E0
1.583225407E2,6.043446466E1,2.222888462E1,-7.105275852E0,1.730000019E0,2.516999969E2,9.935046196E0,2.500000000E0
1.593223314E2,6.043445929E1,2.222884848E1,-8.067905252E0,1.830000043E0,2.545000000E2,9.935046196E0,2.500000000E0
1.603223336E2,6.043445736E1,2.222881598E1,-8.226704840E0,1.730000019E0,2.623999939E2,9.935046196E0,2.500000000E0
1.613219837E2,6.043445611E1,2.222878030E1,-8.817205172E0,1.720000029E0,2.692999878E2,9.935046196E0,2.500000000E0
1.623224989E2,6.043445636E1,2.222874898E1,-9.421624016E0,1.669999957E0,2.657999878E2,9.935046196E0,2.500000000E0
1.633224772E2,6.043445505E1,2.222871654E1,-9.917582147E0,1.710000038E0,2.681000061E2,9.935046196E0,2.500000000E0
1.643225364E2,6.043445488E1,2.222868080E1,-8.849147459E0,1.740000010E0,2.742000122E2,9.935046196E0,2.500000000E0
1.653221798E2,6.043445372E1,2.222864608E1,-8.706921167E0,1.700000048E0,2.775000000E2,9.935046196E0,2.500000000E0
1.663227548E2,6.043445214E1,2.222861279E1,-7.993100991E0,1.629999995E0,2.790000000E2,9.935046196E0,2.500000000E0
1.673224064E2,6.043445255E1,2.222858092E1,-7.585373701E0,1.570000052E0,2.830000000E2,9.935046196E0,2.500000000E0
1.683219036E2,6.043445424E1,2.222854932E1,-8.137730179E0,1.600000024E0,2.840000000E2,9.935046196E0,2.500000000E0
1.693224855E2,6.043445904E1,2.222851586E1,-8.059594337E0,1.679999948E0,2.988999939E2,9.935046196E0,2.500000000E0
1.703223812E2,6.043446094E1,2.222848213E1,-8.749218142E0,1.679999948E0,2.805000000E2,9.935046196E0,2.500000000E0
1.713219949E2,6.043446501E1,2.222844859E1,-9.442444201E0,1.570000052E0,2.866000061E2,9.935046196E0,2.500000000E0
1.723224719E2,6.043447059E1,2.222842019E1,-9.167533423E0,1.580000043E0,2.898999939E2,9.935046196E0,2.500000000E0
1.733225526E2,6.043447776E1,2.222839068E1,-9.415236539E0,1.679999948E0,2.966000061E2,9.935046196E0,2.500000000E0
1.743226819E2,6.043448429E1,2.222836115E1,-9.836248647E0,1.679999948E0,2.950000000E2,9.935046196E0,2.500000000E0
1.753221199E2,6.043449297E1,2.222833160E1,-9.410582154E0,1.679999948E0,2.990000000E2,9.935046196E0,2.500000000E0
1.763227554E2,6.043450002E1,2.222830139E1,-9.498464375E0,1.629999995E0,2.945000000E2,9.935046196E0,2.500000000E0
1.773224680E2,6.043450506E1,2.222827179E1,-8.751476429E0,1.690000057E0,2.896000061E2,9.935046196E0,2.500000000E0
1.783220136E2,6.043450685E1,2.222824130E1,-8.622803124E0,1.649999976E0,2.775000000E2,9.935046196E0,2.500000000E0
1.793226135E2,6.043450349E1,2.222820875E1,-8.675156652E0,1.690000057E0,2.598999939E2,9.935046196E0,2.500000000E0
1.803226684E2,6.043449417E1,2.222817417E1,-8.098844229E0,1.690000057E0,2.426999969E2,9.935046196E0,2.500000000E0
1.813225568E2,6.043448450E1,2.222814422E1,-8.426036884E0,1.590000033E0,2.386999969E2,9.935046196E0,2.500000000E0
1.823225969E2,6.043447328E1,2.222811313E1,-8.512078394E0,1.730000019E0,2.370000000E2,9.935046196E0,2.500000000E0
1.833226544E2,6.043446136E1,2.222808198E1,-8.903234270E0,1.769999981E0,2.338999939E2,9.935046196E0,2.500000000E0
1.843221681E2,6.043445029E1,2.222804988E1,-8.547625064E0,1.860000014E0,2.331000061E2,9.935046196E0,2.500000000E0
1.853222518E2,6.043444179E1,2.222801906E1,-8.555604102E0,1.759999990E0,2.376000061E2,9.935046196E0,2.500000000E0
1.863223809E2,6.043443435E1,2.222798928E1,-8.850388292E0,1.700000048E0,2.418000031E2,9.935046196E0,2.500000000E0
1.873228783E2,6.043442430E1,2.222795785E1,-8.682462978E0,1.759999990E0,2.406999969E2,9.935046196E0,2.500000000E0
1.883228052E2,6.043441473E1,2.222792950E1,-8.208691963E0,1.759999990E0,2.405000000E2,9.935046196E0,2.500000000E0
1.893224440E2,6.043440725E1,2.222789788E1,-8.450008604E0,1.750000000E0,2.493000031E2,9.935046196E0,2.500000000E0
1.903223958E2,6.043439927E1,2.222786754E1,-8.025737121E0,1.720000029E0,2.490000000E2,9.935046196E0,2.500000000E0
1.913223696E2,6.043439097E1,2.222783343E1,-8.068260852E0,1.799999952E0,2.481999969E2,9.935046196E0,2.500000000E0
1.923223337E2,6.043438508E1,2.222779952E1,-7.992072512E0,1.649999976E0,2.486000061E2,9.935046196E0,2.500000000E0
1.933223512E2,6.043437798E1,2.222776360E1,-7.866566350E0,1.850000024E0,2.541999969E2,9.935046196E0,2.500000000E0
1.943222729E2,6.043437135E1,2.222772895E1,-7.604281148E0,1.769999981E0,2.586000061E2,9.935046196E0,2.500000000E0
1.953223246E2,6.043437119E1,2.222769276E1,-7.213275485E0,1.870000005E0,2.780000000E2,9.935046196E0,2.500000000E0
1.963224036E2,6.043437119E1,2.222765891E1,-7.068974934E0,1.710000038E0,2.825000000E2,9.935046196E0,2.500000000E0
1.973222296E2,6.043437036E1,2.222762800E1,-6.875480792E0,1.690000057E0,2.811000061E2,9.935046196E0,2.500000000E0
1.983223632E2,6.043437364E1,2.222759496E1,-6.487590925E0,1.610000014E0,2.906000061E2,9.935046196E0,2.500000000E0
1.993223955E2,6.043437699E1,2.222756153E1,-6.603546154E0,1.740000010E0,2.803999939E2,9.935046196E0,2.500000000E0
2.003220591E2,6.043437796E1,2.222752871E1,-6.670428147E0,1.720000029E0,2.766000061E2,9.935046196E0,2.500000000E0
2.013220696E2,6.043437826E1,2.222749820E1,-6.731451341E0,1.610000014E0,2.800000000E2,9.935046196E0,2.500000000E0
